City,Site,Site Name,Category Desc.,Long Class Desc.,Art. No,Article Desc.,Quantity,Date,Formatted Date,Net Revenue,Product Name,Channel,Gross Revenue
Mumbai,A285,Mumbai-Kandivali West,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,30.05.2022,30-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Pune,A342,Pune-Westend Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,30.05.2022,30-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
BHIWANDI,E001,E001 Bhiwandi DC,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,10,30.05.2022,30-May-22,7790,146BK NeoCase Sleeve MP 450 14,Online,12490
BHIWANDI,E001,E001 Bhiwandi DC,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,30.05.2022,30-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Online,1899
Bangalore,E003,Infiniti Retail Limited -E003,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,1,30.05.2022,30-May-22,779,146BK NeoCase Sleeve MP 450 14,Online,1249
Mumbai,A092,Mumbai-Kandivali,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,30.05.2022,30-May-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
Mumbai,A119,Mumbai-Prabhadevi,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,30.05.2022,30-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Noida,A135,Noida-Logix Mall,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,30.05.2022,30-May-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Bangalore,A150,Bangalore-Whitefield,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,30.05.2022,30-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Mumbai,A153,Mumbai-Infiniti Mall,Input Devices,Keyboards,250873,Amkette EvoFox Fireblade Wired GMG KB,1,30.05.2022,30-May-22,999,422BK Evo Fox Fireblade Gaming Keyboard USB,Offline,1299
Mumbai,A178,Mumbai-Kurla LBS Road,Input Devices,Keyboards,250873,Amkette EvoFox Fireblade Wired GMG KB,-1,30.05.2022,30-May-22,-999,422BK Evo Fox Fireblade Gaming Keyboard USB,Offline,-1299
Aurangabad,A191,Aurangabad-Waluj,Input Devices,Keyboards,250424,Amkette Primus V2 WL Desktop KB & Mouse,1,30.05.2022,30-May-22,999,419V2 PRIMUS Wireless Desktop V2,Offline,1199
Pune,A194,Pune-Chinchawad Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,30.05.2022,30-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Anand,A201,Anand-Vidyanagar Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,30.05.2022,30-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Vadodara,A202,Vadodara-Kareli Baug,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,30.05.2022,30-May-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Offline,1499
Vadodara,A202,Vadodara-Kareli Baug,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,30.05.2022,30-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Vadodara,A202,Vadodara-Kareli Baug,Input Devices,Mice,250881,Amkette EvoFox Phantom Pro WRGB GMG MSE,1,30.05.2022,30-May-22,799,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,Offline,1099
Bangalore,A207,Bangalore-Hennur Road,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,30.05.2022,30-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Patiala,A255,Patiala-Bhupendra Rd,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,30.05.2022,30-May-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Belagavi,A271,Belagavi-Tilakwadi,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,30.05.2022,30-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Virar,A288,Virar-Redbricks,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,30.05.2022,30-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Zirakhpur,A294,Zirakhpur-Garden Village,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,30.05.2022,30-May-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Offline,1499
Faridabad,A012,Faridabad-Crown Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,30.05.2022,30-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Mumbai,A027,Mumbai-PMC Lower Parel Mall,Input Devices,Keyboards,204736,AMKETTE Xcite Pro Keyboard,1,31.05.2022,31-May-22,549,851PP Xcite Pro Keyboard USB,Offline,599
Bangalore,A045,Bangalore-Indira Nagar,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Pune,A049,Pune-Kothrud,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,31.05.2022,31-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Bangalore,A056,Bangalore-J P Nagar,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bangalore,A056,Bangalore-J P Nagar,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Bangalore,A058,Bangalore-Koramangala,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,31.05.2022,31-May-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Hyderabad,A091,Hyderabad-Kondapur,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,1,31.05.2022,31-May-22,779,146BK NeoCase Sleeve MP 450 14,Offline,1249
Navi Mumbai,A009,Navi Mumbai-Belapur,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Navi Mumbai,A009,Navi Mumbai-Belapur,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Gurugram,A316,Gurugram-Mall Fifty One,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,31.05.2022,31-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,A258,Delhi-Pitampura,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
New Delhi,A258,Delhi-Pitampura,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Hoogly,E017,Kolkata DC-E017,Input Devices,Mice,250881,Amkette EvoFox Phantom Pro WRGB GMG MSE,1,31.05.2022,31-May-22,799,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,Online,1099
Ahmedabad,A246,Ahmedabad-Gandhinagar,Input Devices,Keyboards,204736,AMKETTE Xcite Pro Keyboard,1,31.05.2022,31-May-22,549,851PP Xcite Pro Keyboard USB,Offline,599
Ahmedabad,A246,Ahmedabad-Gandhinagar,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Ahmedabad,A250,Ahmedabad-Bopal,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Ahmedabad,A250,Ahmedabad-Bopal,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,31.05.2022,31-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Ahmedabad,A251,Ahmedabad-Shyamal Cross Road,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,31.05.2022,31-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Ahmedabad,E004,E004 Gujrat DC,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,31.05.2022,31-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Online,699
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,31.05.2022,31-May-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Online,1499
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Online,1199
Chennai,A097,Chennai-PMC Mall,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,31.05.2022,31-May-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
Nashik,A108,Nashik-Solitario,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,31.05.2022,31-May-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Offline,1499
Mumbai,A119,Mumbai-Prabhadevi,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,0,31.05.2022,31-May-22,0,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,0
Ahmedabad,A145,Ahmedabad-Mani Nagar,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bangalore,A160,Bangalore-Yelahanka,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,31.05.2022,31-May-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
New Delhi,A161,Delhi-Vasant Kunj Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Goa,A172,Goa-Porvorim,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,31.05.2022,31-May-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
Goa,A172,Goa-Porvorim,Input Devices,Keyboards,250424,Amkette Primus V2 WL Desktop KB & Mouse,0,31.05.2022,31-May-22,0,419V2 PRIMUS Wireless Desktop V2,Offline,0
Thane,A175,Thane-Ghodbunder Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Mumbai,A178,Mumbai-Kurla LBS Road,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,31.05.2022,31-May-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Gwalior,A182,Gwalior-City Center,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Vishakapatnam,A211,Vizag-Sripuram,PC Accessories,PC Add On,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,31.05.2022,31-May-22,999,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Offline,1999
Asansol,A229,Asansol-Bhagat Singh More,PC Accessories,PC Add On,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,31.05.2022,31-May-22,999,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Offline,1999
Indore,A233,Indore-Aerodrum Road,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,31.05.2022,31-May-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Offline,1499
Indore,A233,Indore-Aerodrum Road,Input Devices,Mice,250881,Amkette EvoFox Phantom Pro WRGB GMG MSE,1,31.05.2022,31-May-22,799,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,Offline,1099
Bilaspur,A234,Bilaspur-Srikant Verma Marg,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,31.05.2022,31-May-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Eluru,A252,Eluru-Narsimharaopet,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,31.05.2022,31-May-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Latur,A256,Latur-Ambejogai Road,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,31.05.2022,31-May-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Belagavi,A271,Belagavi-Tilakwadi,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Virar,A288,Virar-Redbricks,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Virar,A288,Virar-Redbricks,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,31.05.2022,31-May-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
PUNE,A011,Pune-Aundh,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,31.05.2022,31-May-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
MUMBAI,A026,Mumbai-Fort,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,01.06.2022,1-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Bangalore,A045,Bangalore-Indira Nagar,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,-1,01.06.2022,1-Jun-22,-779,146BK NeoCase Sleeve MP 450 14,Offline,-1249
Navi Mumbai,A009,Navi Mumbai-Belapur,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,01.06.2022,1-Jun-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
SURAT,A217,Surat-VIP Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,01.06.2022,1-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
TIRUPATHI,Online,Online,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,01.06.2022,1-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Online,1899
PONDICHERRY,Online,Online,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,01.06.2022,1-Jun-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Online,1499
SURAT,A217,Surat-VIP Road,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,01.06.2022,1-Jun-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
PUNE,A115,Pune-Seasons Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,01.06.2022,1-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
GURGAON,A118,Gurugram-Sector 49,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,01.06.2022,1-Jun-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
MUMBAI,A119,Mumbai-Prabhadevi,Input Devices,Keyboards,250873,Amkette EvoFox Fireblade Wired GMG KB,1,01.06.2022,1-Jun-22,999,422BK Evo Fox Fireblade Gaming Keyboard USB,Offline,1299
PUNE,A156,Pune-Baner,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,01.06.2022,1-Jun-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
Jalandar,A163,Jalandhar-Lajpat Nagar,Input Devices,Mice,250881,Amkette EvoFox Phantom Pro WRGB GMG MSE,1,01.06.2022,1-Jun-22,799,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,Offline,1099
HYDERABAD,A169,Hyderabad-Sarath City Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,01.06.2022,1-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
PUNE,A194,Pune-Chinchawad Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,01.06.2022,1-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Anand,A201,Anand-Vidyanagar Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,0,01.06.2022,1-Jun-22,0,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,0
GURGAON,A212,Gurugram-Worldmark 2,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,01.06.2022,1-Jun-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
MANGALORE,A221,Mangalore-MAK Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,01.06.2022,1-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
MANGALORE,A221,Mangalore-MAK Mall,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,01.06.2022,1-Jun-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
MUMBAI,A275,Kalyan-Khadakpada,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,01.06.2022,1-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,A329,Delhi - DLF Avenue Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,01.06.2022,1-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
VADODARA,A015,Vadodara-Centre Square Mall,PC Accessories,PC Add On,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,01.06.2022,1-Jun-22,999,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Offline,1999
VADODARA,A015,Vadodara-Centre Square Mall,Input Devices,Mice,250881,Amkette EvoFox Phantom Pro WRGB GMG MSE,1,02.06.2022,2-Jun-22,799,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,Offline,1099
New Delhi,A020,Delhi-Rohini,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
New Delhi,A020,Delhi-Rohini,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,02.06.2022,2-Jun-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
MUMBAI,A027,Mumbai-PMC Lower Parel Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
MUMBAI,A035,Mumbai-Ghatkopar Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,A048,Delhi-SouthEx,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
GURGAON,A050,Gurugram-Dlf Mega Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bangalore,A056,Bangalore-J P Nagar,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bangalore,A056,Bangalore-J P Nagar,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,02.06.2022,2-Jun-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
AURANGABAD,A062,Aurangabad-Prozone Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,0,02.06.2022,2-Jun-22,0,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,0
MUMBAI,A092,Mumbai-Kandivali,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,02.06.2022,2-Jun-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
CHENNAI,A097,Chennai-PMC Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
SURAT,A217,Surat-VIP Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
SURAT,Online,Online,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Online,1899
Navi Mumbai,A116,Navi Mumbai-Kharghar,Input Devices,Keyboards,250873,Amkette EvoFox Fireblade Wired GMG KB,1,02.06.2022,2-Jun-22,999,422BK Evo Fox Fireblade Gaming Keyboard USB,Offline,1299
HYDERABAD,A134,Hyderabad-AS RaoNagar,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,02.06.2022,2-Jun-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
NOIDA,A135,Noida-Logix Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
MUMBAI,A147,Mumbai-Borivali,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
MUMBAI,A147,Mumbai-Borivali,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
HUBLI,A167,Hubli-Gokul Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,02.06.2022,2-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
HYDERABAD,A169,Hyderabad-Sarath City Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,02.06.2022,2-Jun-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
KOLKATA,A180,Kolkata-Sarat Bose Road,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,02.06.2022,2-Jun-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
HYDERABAD,A196,Hyderabad-Madinaguda,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,02.06.2022,2-Jun-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Bangalore,A207,Bangalore-Hennur Road,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
SURAT,A209,Surat-Parvat Patiya,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,02.06.2022,2-Jun-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
GURGAON,A212,Gurugram-Worldmark 2,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Nashik,A215,Nashik-Nashik Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,0,02.06.2022,2-Jun-22,0,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,0
Nashik,A215,Nashik-Nashik Road,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,0,02.06.2022,2-Jun-22,0,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,0
Bangalore,A277,Bangalore-Electronic city,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,02.06.2022,2-Jun-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
MUMBAI,A035,Mumbai-Ghatkopar Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,02.06.2022,2-Jun-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
RAJKOT,A036,Rajkot-Crystal Mall,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,03.06.2022,3-Jun-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
PUNE,A038,Pune-Pimpri,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,03.06.2022,3-Jun-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
